id,lat,lon,user,timestamp
564636576,31.2485568,121.3626614,yangfl,2011-01-02T11:56:27Z
564636581,31.2454089,121.376666,zzcolin,2012-04-01T06:51:09Z
564636584,31.2494318,121.3692332,zzcolin,2021-11-14T16:32:14Z
564636586,31.2507956,121.3667142,zzcolin,2021-11-07T16:19:38Z
564636590,31.2395918,121.3791819,yangfl,2011-02-01T12:04:53Z
564636591,31.2380895,121.3829524,yangfl,2011-04-22T06:36:37Z
564636592,31.2383431,121.3823027,zzcolin,2013-10-07T15:47:08Z
564636594,31.2423789,121.3841111,yangfl,2011-04-22T06:36:50Z
564636598,31.2418544,121.3885194,zzcolin,2011-12-24T19:17:24Z
564636599,31.2411005,121.3917456,zzcolin,2015-04-04T19:24:45Z
564636601,31.2436431,121.3919516,zzcolin,2015-04-04T19:24:45Z
564636603,31.2442735,121.3892947,zzcolin,2015-04-04T19:24:45Z
564636605,31.2500049,121.3789922,zzcolin,2011-12-25T10:14:43Z
564636606,31.2460589,121.3861596,yangfl,2011-04-22T06:36:42Z
564636608,31.2451875,121.3854956,yangfl,2011-04-22T06:36:30Z
564636609,31.2461287,121.3859485,yangfl,2011-04-22T06:36:44Z
564636610,31.2478432,121.3864973,yangfl,2011-04-22T06:36:36Z
564640843,31.2326781,121.3690347,yangfl,2011-01-08T16:27:31Z
564640844,31.2321751,121.3701807,yangfl,2011-01-08T16:27:32Z
564640845,31.2319632,121.3713819,zzcolin,2013-01-11T14:20:53Z
